City,Normalized_Population_file1,Population_Lower_file1,Population_Upper_file1,Normalized_Population_file2,Population_Lower_file2,Population_Upper_file2,Normalized_Population_Ratio,Population_upper_ratio,Population_lower_ratio
Accra,0.9990876319224596,0.998611642312336,0.9990876319224596,0.998568212717593,0.9933273392413584,0.9985706810629528,1.0005201639690222,1.0057989873564745,1.0000410198798744
Addis Abeba,0.9947959359121687,0.9934914877678542,0.9972838701870748,0.953783263245698,0.933349376246214,0.9728848779073151,1.0429999919760657,1.0685000660717163,1.02118093345727
Bamako,0.9992212559706664,0.9990296623773396,0.9993493532086246,0.9987295956105424,0.9953159054611972,0.999193417305551,1.000492285762117,1.004052429711307,0.9998361128832763
Beira,0.9958199644818624,0.9954268798135192,0.9958199644818624,0.9936630237951156,0.9935357041656264,0.993955379112864,1.0021706963377874,1.0022991225243931,1.0014804494563614
Gombe,0.9403023844334608,0.8568126310595503,0.945541636462528,0.9472291040497302,0.9316790497988126,0.9560481539640387,0.9926873872575755,1.0148791439141074,0.8962023800861592
Ibadan,0.9987966970877858,0.9985129071602172,0.999001043301454,0.9998056203044776,0.9996579941856644,0.9998726862439036,0.9989908806309925,0.999342824357899,0.9986400477756878
Johannesburg,0.9997913126981296,0.9980709166003606,0.9998121557624186,0.999982794535165,0.9978102821024404,0.9999877839418184,0.9998085148683739,1.0020062668183376,0.9980831092416932
Kampala,0.996300714995746,0.996300714995746,0.9963038168167212,0.9970383682485686,0.9970383682485686,0.9970651918321894,0.9992601556005127,0.9992632666352271,0.9992332729667971
Khartoum,0.9994080910952882,0.9993301893426008,0.9994080910952882,0.9350253531419204,0.8742918581257755,0.9812575012852276,1.0688566761714275,1.1431057967733167,1.018417885247962
Kigali,0.999727777883582,0.999727777883582,0.999727777883582,0.9995688313966946,0.9994802051262974,0.9995688313966946,1.0001590150491841,1.0002477015112603,1.0001590150491841
Kinshasa,0.9960323949446116,0.9960323949446116,0.9960702677458018,0.9988979221310244,0.9988901232489392,0.9989166207606366,0.9971313112952528,0.9971770113273662,0.9971126460846864
Lagos,0.995682799467402,0.9949929044455934,0.9957110797626698,0.9953949951036362,0.9938033791598404,0.9973921172740172,1.000289135835705,1.0019195956089848,0.9975945139460485
Luanda,0.6975603662648548,0.6285506151207686,0.7798387719806643,0.710288327699619,0.6335252419602837,0.7691623092186406,0.9820805707507743,1.2309513817754922,0.8171885278144824
Lubumbashi,0.998369071237284,0.998104703256202,0.998371583629561,0.9993149984897522,0.9993006117007276,0.9993804103368984,0.9990534243417764,0.9990703217227243,0.9987235020143468
Nakuru,0.9999999999898962,0.9999999999898962,0.9999999999898962,1.0,1.0,1.0,0.9999999999898962,0.9999999999898962,0.9999999999898962
Ndola,0.9985975261923412,0.9983695629298868,0.9995252661759656,0.9854490964446808,0.9728598339180116,0.9873556205529784,1.0133425762884125,1.027409325915496,1.011154990307079
Oyo,0.9999999999414384,0.9997564128899236,0.9999999999414384,0.9836959380995678,0.9812874513497276,0.9889362498852704,1.0165742900935109,1.0190693853936197,1.0109412138607605
Port-Elizabeth,0.996910298391226,0.9958801543902316,0.997466316951688,0.9989125687994126,0.9982739732983692,0.9990277344924744,0.997995549890224,0.9991909472065943,0.9968493566358877
Arusha,1.0000000000000002,1.0,1.0,0.9999887310919496,0.999955174008727,1.0000000000000002,1.0000112690350402,1.0000448280007326,0.9999999999999998
